recording_start,recording_end,duration_minutes,tech_name,all_techs,machine,end_user,session_type,session_id,connection_id,month,day,file_size_bytes,teams_url
2026-04-24T02:12:36Z,2026-04-24T02:14:26Z,1.8,,,MAX-DC-AD-01,,Support,e872ecbd-7d47-48f3-99ae-f132d1395ffc,5f254c6e-5111-4bcc-a8bb-ce74b74b4ee7,04,24,1898491,
2026-04-24T03:31:36Z,2026-04-24T04:45:24Z,73.8,,,MAX-DC-AD-01,,Support,e872ecbd-7d47-48f3-99ae-f132d1395ffc,65d8528d-e369-4dd0-87e9-31165a8a1f47,04,24,1668296,
2026-04-24T04:45:24Z,2026-04-24T05:20:08Z,34.7,,,MAX-DC-AD-01,,Support,e872ecbd-7d47-48f3-99ae-f132d1395ffc,ac2782c8-e32f-46bc-9ae7-f93b762eab55,04,24,1063198,
2026-04-24T05:20:08Z,2026-04-24T06:45:28Z,85.3,,,MAX-DC-AD-01,,Support,e872ecbd-7d47-48f3-99ae-f132d1395ffc,367ad602-a7de-4f85-a42a-4a850786ce8b,04,24,174,
2026-04-24T07:20:53Z,2026-04-24T07:29:07Z,8.2,,,AKT-DC-FS-01,,Support,a3c1ddb4-97f8-4028-967d-84d1a9b8894f,8bb89c80-689e-45cc-a10d-1d7822a5cd27,04,24,162,
